dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1688356800,2023-07-03 04:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.45,10000,70.99,74.82,72.99,76.98,1009,,,92,9.22,190,,1.24,,,,75,501,Rain,moderate rain,10n
1688360400,2023-07-03 05:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,74.98,10000,71.53,76.37,72.99,76.3,1009,,,89,6.91,230,,0.76,,,,75,500,Rain,light rain,10n
1688364000,2023-07-03 06:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.8,10000,71.01,75.15,72.99,76.19,1009,,,91,7,230,0,,,,,40,802,Clouds,scattered clouds,03n
1688367600,2023-07-03 07:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.58,10000,70.79,74.91,72.3,76.19,1009,,,91,8.05,230,,,,,,75,803,Clouds,broken clouds,04n
1688371200,2023-07-03 08:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.6,10000,70.48,74.89,72.99,76.19,1009,,,90,9.22,250,,,,,,75,803,Clouds,broken clouds,04n
1688374800,2023-07-03 09:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.38,10000,70.59,74.7,72.99,76.19,1009,,,91,7,270,0,,,,,40,802,Clouds,scattered clouds,03n
1688378400,2023-07-03 10:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,74.34,10000,69.87,75.51,71.98,76.19,1010,,,86,8.05,300,,,,,,40,802,Clouds,scattered clouds,03d
1688382000,2023-07-03 11:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,75.38,10000,70.56,76.62,74.98,77.31,1010,,,85,9.22,300,,,,,,75,803,Clouds,broken clouds,04d
1688385600,2023-07-03 12:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,78.48,10000,69.89,79.56,75.18,79,1010,,,75,9.22,320,,,,,,75,803,Clouds,broken clouds,04d
1688389200,2023-07-03 13:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,77.79,10000,70.38,78.94,76.98,82.02,1011,,,78,8.05,330,,,,,,75,803,Clouds,broken clouds,04d
1688392800,2023-07-03 14:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,81.01,10000,71.55,85.17,78.78,84.31,1011,,,73,9.22,180,,,,,,40,802,Clouds,scattered clouds,03d
1688396400,2023-07-03 15:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,81.7,10000,70.95,85.87,80.6,86.31,1011,,,70,10.36,220,,,,,,75,803,Clouds,broken clouds,04d
1688400000,2023-07-03 16:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,82.78,10000,70.7,87.19,81.99,87.33,1011,,,67,10.36,190,,,,,,75,803,Clouds,broken clouds,04d
1688403600,2023-07-03 17:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,85.95,10000,70.93,91.36,84.97,88.32,1011,,,61,10.36,220,,,,,,75,803,Clouds,broken clouds,04d
1688407200,2023-07-03 18:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,86.49,10000,70.95,92.03,85.98,91.31,1010,,,60,13,200,0,,,,,75,803,Clouds,broken clouds,04d
1688410800,2023-07-03 19:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,84.42,10000,70.9,89.42,83.98,89.58,1010,,,64,14,170,0,0.11,,,,75,500,Rain,light rain,10d
1688414400,2023-07-03 20:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,84.94,10000,69.98,89.46,83.98,88.3,1010,,,61,14.97,170,,0.16,,,,75,500,Rain,light rain,10d
1688418000,2023-07-03 21:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,82.9,10000,72.95,88.74,81.99,87.78,1009,,,72,15.01,180,0,1.69,,,,75,501,Rain,moderate rain,10d
1688421600,2023-07-03 22:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,82.53,10000,72.99,88.2,81.99,88.02,1009,,,73,13.8,170,,3.44,,,,40,501,Rain,moderate rain,10d
1688425200,2023-07-03 23:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,80.65,10000,71.6,84.65,79.99,86.02,1009,,,74,11.99,170,0,3.57,,,,40,501,Rain,moderate rain,10d
1688428800,2023-07-04 00:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,77.61,10000,70.95,78.84,76.98,83.3,1010,,,80,8.05,180,,,,,,40,802,Clouds,scattered clouds,03d
1688432400,2023-07-04 01:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,78.24,10000,70.45,79.39,76.98,81.99,1010,,,77,8.05,210,,,,,,100,804,Clouds,overcast clouds,04n
1688436000,2023-07-04 02:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,79.86,10000,69.21,79.86,78.01,84.06,1011,,,70,10.36,350,,,,,,75,803,Clouds,broken clouds,04n
1688439600,2023-07-04 03:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,79.95,10000,71.31,79.95,76.98,81.01,1011,,,75,9.22,350,,,,,,75,803,Clouds,broken clouds,04n
1688443200,2023-07-04 04:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,75.74,10000,71.92,77.14,74.3,79.02,1011,,,88,9.22,60,,3.81,,,,75,501,Rain,moderate rain,10n
1688446800,2023-07-04 05:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,75.16,10000,71.69,76.57,73.98,76.98,1011,,,89,8.05,30,,1.91,,,,75,501,Rain,moderate rain,10n
1688450400,2023-07-04 06:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.63,10000,71.8,75.11,72.99,75.31,1011,,,94,3.44,90,,,,,,75,803,Clouds,broken clouds,04n
1688454000,2023-07-04 07:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.76,10000,72.23,75.31,72.99,76.19,1011,,,95,0,0,,1.27,,,,75,501,Rain,moderate rain,10n
1688457600,2023-07-04 08:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.65,10000,72.12,75.18,72.99,76.19,1011,,,95,5.01,200,0,0.48,,,,75,500,Rain,light rain,10n
1688461200,2023-07-04 09:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.42,10000,70.63,74.73,72.99,75.31,1011,,,91,7,210,0,0.63,,,,75,500,Rain,light rain,10n
1688464800,2023-07-04 10:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.33,10000,70.54,74.64,72.99,76.19,1011,,,91,5.99,210,0,0.25,,,,75,500,Rain,light rain,10d
1688468400,2023-07-04 11:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.63,10000,70.84,74.97,72.99,77.2,1012,,,91,9.22,190,,0.25,,,,75,500,Rain,light rain,10d
1688472000,2023-07-04 12:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.83,10000,70.72,75.15,72.99,78.03,1012,,,90,15.01,210,0,,,,,75,803,Clouds,broken clouds,04d
1688475600,2023-07-04 13:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,75.58,10000,70.05,76.73,74.98,78.78,1012,,,83,14,190,0,0.57,,,,75,500,Rain,light rain,10d
1688479200,2023-07-04 14:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,77.34,10000,71.06,78.58,76.98,80.04,1013,,,81,13,210,0,0.5,,,,40,500,Rain,light rain,10d
1688482800,2023-07-04 15:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,80.83,10000,71.37,84.83,79.03,83.3,1013,,,73,7,240,0,0.12,,,,75,211,Thunderstorm,thunderstorm,11d
1688482800,2023-07-04 15:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,80.83,10000,71.37,84.83,79.03,83.3,1013,,,73,7,240,0,0.12,,,,75,500,Rain,light rain,10d
1688486400,2023-07-04 16:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,82.78,10000,72,87.94,80.98,85.05,1013,,,70,5.01,220,0,0.1,,,,75,211,Thunderstorm,thunderstorm,11d
1688486400,2023-07-04 16:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,82.78,10000,72,87.94,80.98,85.05,1013,,,70,5.01,220,0,0.1,,,,75,500,Rain,light rain,10d
1688490000,2023-07-04 17:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,80.47,10000,71.42,84.31,79.18,81.63,1012,,,74,8.05,190,,0.3,,,,75,500,Rain,light rain,10d
1688493600,2023-07-04 18:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,77.45,10000,71.89,78.8,76.98,82.38,1012,,,83,3.44,0,,1.02,,,,75,501,Rain,moderate rain,10d
1688497200,2023-07-04 19:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,79.05,10000,72.36,79.05,78.01,82.38,1012,,,80,5.75,200,,0.85,,,,75,211,Thunderstorm,thunderstorm,11d
1688497200,2023-07-04 19:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,79.05,10000,72.36,79.05,78.01,82.38,1012,,,80,5.75,200,,0.85,,,,75,500,Rain,light rain,10d
1688500800,2023-07-04 20:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,77.74,10000,72.52,79.16,77,80.58,1012,,,84,5.75,210,,0.28,,,,75,500,Rain,light rain,10d
1688504400,2023-07-04 21:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,77.34,10000,71.78,78.67,75.99,80.33,1012,,,83,3.44,0,,0.39,,,,75,500,Rain,light rain,10d
1688508000,2023-07-04 22:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,78.91,10000,72.57,78.91,78.01,80.58,1012,,,81,4.61,0,,,,,,75,803,Clouds,broken clouds,04d
1688511600,2023-07-04 23:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,78.73,10000,72.41,78.73,78.01,81.19,1012,,,81,5.01,90,0,,,,,75,803,Clouds,broken clouds,04d
1688515200,2023-07-05 00:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,77.86,10000,72.28,79.25,76.98,81.19,1013,,,83,8.05,50,,,,,,75,803,Clouds,broken clouds,04d
1688518800,2023-07-05 01:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,76.28,10000,71.1,77.56,74.98,78.78,1013,,,84,6.91,50,,,,,,75,803,Clouds,broken clouds,04n
1688522400,2023-07-05 02:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,75.16,10000,71.02,76.48,73.98,76.32,1014,,,87,6.91,70,,,,,,40,711,Smoke,smoke,50n
1688526000,2023-07-05 03:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,74.91,4828,71.11,76.24,72.99,76.05,1014,,,88,6.91,70,,,,,,40,701,Mist,mist,50n
1688529600,2023-07-05 04:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.49,6437,70.7,74.82,72.3,75.06,1014,,,91,3.44,30,,,,,,40,701,Mist,mist,50n
1688529600,2023-07-05 04:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.49,6437,70.7,74.82,72.3,75.06,1014,,,91,3.44,30,,,,,,40,711,Smoke,smoke,50n
1688533200,2023-07-05 05:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.18,8047,70.72,74.53,71.31,74.19,1014,,,92,5.01,220,0,,,,,40,711,Smoke,smoke,50n
1688533200,2023-07-05 05:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.18,8047,70.72,74.53,71.31,74.19,1014,,,92,5.01,220,0,,,,,40,701,Mist,mist,50n
1688536800,2023-07-05 06:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.09,3219,70.63,74.43,71.31,74.19,1014,,,92,5.99,220,0,,,,,40,701,Mist,mist,50n
1688540400,2023-07-05 07:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,71.91,3219,70.39,73.26,70.3,74.05,1014,,,95,5.99,50,0,,,,,20,701,Mist,mist,50n
1688544000,2023-07-05 08:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,71.55,3219,69.1,72.72,69.98,73.06,1014,,,92,4.61,60,,,,,,20,701,Mist,mist,50n
1688547600,2023-07-05 09:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,69.98,6437,68.79,71.19,68.2,72.05,1014,,,96,3.44,60,,,,,,20,701,Mist,mist,50n
1688551200,2023-07-05 10:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,70,4828,68.81,71.2,68.2,72.19,1015,,,96,3.44,80,,,,,,20,701,Mist,mist,50d
1688554800,2023-07-05 11:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,73.08,8047,69.64,74.26,71.33,75.02,1015,,,89,1.01,245,1.99,,,,,20,701,Mist,mist,50d
1688558400,2023-07-05 12:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,78.22,8047,69.66,79.27,76.03,80.01,1016,,,75,5.01,360,0,,,,,20,721,Haze,haze,50d
1688562000,2023-07-05 13:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,80.8,10000,67.03,83.21,79.99,82.99,1016,,,63,9.22,50,,,,,,20,801,Clouds,few clouds,02d
1688565600,2023-07-05 14:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,83.91,10000,68.05,87.12,81.03,86.05,1016,,,59,5.99,184,11.99,,,,,20,801,Clouds,few clouds,02d
1688569200,2023-07-05 15:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,82.56,10000,70.93,87.03,81.99,87.33,1015,,,68,8.05,210,,,,,,20,801,Clouds,few clouds,02d
1688572800,2023-07-05 16:00:00 +0000 UTC,-14400,John F. Kennedy International Airport,40.644624,-73.779703,85.91,10000,69.93,90.57,85.03,89.02,1015,,,59,8.05,200,,,,,,20,801,Clouds,few clouds,02d
